time,latitude,longitude,z,centroid
5,29.50,57.00,5919.0,-1
5,29.50,95.25,5865.0,-1
5,29.25,43.25,5915.4,-1
5,29.00,-7.50,5935.8,-1
5,29.00,-6.75,5936.1,-1
5,29.00,81.75,5860.7,-1
5,29.00,96.75,5865.9,-1
5,29.00,101.25,5872.9,-1
5,28.75,96.00,5867.0,-1
5,28.50,41.50,5916.9,-1
5,28.25,102.50,5873.6,-1
5,28.00,95.50,5865.6,-1
5,27.75,96.25,5866.9,-1
5,27.75,97.75,5868.0,-1
5,27.50,94.75,5864.6,-1
5,27.25,40.50,5917.5,-1
5,27.00,-176.50,5891.9,-1
5,26.25,-178.50,5890.9,-1
5,26.25,-171.75,5889.9,-1
5,26.25,93.75,5862.8,-1
6,67.50,-41.00,5584.4,-1
6,63.25,161.75,5807.7,-1
6,63.25,163.50,5808.7,-1
6,61.50,40.75,5902.5,-1
6,60.25,-92.00,5805.3,-1
6,57.25,-99.25,5801.3,-1
6,42.50,-160.25,5907.3,-1
6,42.00,-112.50,5902.3,-1
6,41.00,-110.00,5911.8,-1
6,40.00,-109.00,5912.8,-1
6,38.50,-108.00,5914.7,-1
6,37.75,-108.50,5912.7,-1
6,37.50,-107.00,5917.7,-1
6,37.50,-3.50,5942.7,-1
6,36.75,-106.25,5917.8,-1
6,36.75,-3.50,5945.9,-1
6,36.25,-104.50,5919.3,-1
6,36.00,-63.75,5952.1,-1
6,35.75,-106.50,5915.7,-1
6,35.75,70.00,5866.0,-1
6,35.50,88.75,5854.7,-1
6,35.25,155.25,5922.5,-1
6,34.75,-103.00,5916.8,-1
6,34.75,153.25,5921.8,-1
6,34.50,89.50,5856.8,-1
6,33.75,-4.25,5955.1,-1
6,33.75,95.75,5863.5,-1
6,33.75,143.75,5911.4,-1
6,33.50,-105.50,5914.3,-1
6,33.50,-63.00,5952.1,-1
6,33.50,-6.00,5956.2,-1
6,33.50,159.50,5923.7,-1
6,33.25,92.75,5863.7,-1
6,33.25,121.50,5908.7,-1
6,33.00,67.00,5889.9,-1
6,32.75,119.00,5907.0,-1
6,32.50,-5.25,5958.3,-1
6,32.50,98.00,5866.4,-1
6,32.25,60.25,5909.7,-1
6,31.75,-6.50,5958.3,-1
6,31.50,56.25,5919.0,-1
6,31.50,115.75,5905.7,-1
6,31.50,118.25,5905.1,-1
6,31.50,123.25,5907.0,-1
6,31.50,125.00,5906.4,-1
6,31.25,52.25,5924.5,-1
6,31.25,55.00,5920.2,-1
6,31.00,-8.50,5958.0,-1
6,31.00,-7.75,5958.1,-1
6,31.00,-6.25,5956.9,-1
6,31.00,-5.50,5956.9,-1
6,31.00,53.00,5925.3,-1
6,31.00,114.50,5904.9,-1
6,30.75,-104.75,5909.5,-1
6,30.75,-9.25,5955.1,-1
6,30.75,57.25,5919.2,-1
6,30.75,58.00,5917.1,-1
6,30.50,-7.00,5956.3,-1
6,30.50,55.25,5920.8,-1
6,30.50,56.25,5919.9,-1
6,30.50,82.75,5847.7,-1
6,30.50,94.25,5862.9,-1
6,30.50,97.00,5870.4,-1
6,30.50,105.25,5882.6,-1
6,30.50,113.25,5903.8,-1
6,30.50,116.50,5905.4,-1
6,30.25,-8.00,5957.4,-1
6,30.00,45.75,5922.7,-1
6,30.00,49.50,5923.7,-1
6,30.00,50.25,5923.9,-1
6,30.00,54.25,5922.4,-1
6,30.00,60.00,5913.7,-1
6,30.00,97.75,5867.8,-1
6,30.00,114.25,5904.4,-1
6,29.75,-102.50,5906.1,-1
6,29.75,-8.75,5955.1,-1
6,29.75,81.00,5853.8,-1
6,29.50,-105.75,5906.3,-1
6,29.50,-9.50,5953.5,-1
6,29.50,47.00,5922.8,-1
6,29.50,61.25,5911.6,-1
6,29.50,94.50,5862.5,-1
6,29.25,-103.75,5906.4,-1
6,29.25,-101.25,5906.4,-1
6,29.25,43.75,5923.0,-1
6,29.00,-87.75,5889.0,-1
6,29.00,96.00,5863.9,-1
6,28.75,94.50,5861.5,-1
6,28.75,95.25,5862.7,-1
6,28.50,58.00,5912.6,-1
6,28.50,98.50,5867.9,-1
6,28.50,101.50,5880.7,-1
6,28.50,102.50,5879.9,-1
6,28.00,95.50,5860.7,-1
6,28.00,96.25,5861.9,-1
6,27.75,167.75,5906.5,-1
6,27.50,41.25,5921.8,-1
6,27.50,147.00,5901.9,-1
6,25.50,-100.50,5900.3,-1
7,67.00,-40.00,5584.6,-1
7,63.00,166.00,5798.3,-1
7,62.75,167.00,5798.1,-1
7,61.50,41.50,5903.1,-1
7,60.00,-89.50,5815.2,-1
7,54.25,175.00,5766.8,-1
7,44.25,2.25,5918.9,-1
7,41.50,-160.00,5905.3,-1
7,41.00,-2.75,5927.9,-1
7,40.75,-160.25,5905.3,-1
7,40.25,-2.00,5928.0,-1
7,40.00,-1.00,5926.7,-1
7,39.75,-4.00,5930.7,-1
7,39.00,-106.50,5929.6,-1
7,38.75,-107.25,5928.7,-1
7,37.50,-106.75,5931.1,-1
7,37.00,-104.50,5932.2,-1
7,36.75,88.25,5860.9,-1
7,36.00,-105.75,5932.7,-1
7,35.25,-5.50,5945.8,-1
7,35.25,151.25,5902.0,-1
7,35.25,152.50,5902.2,-1
7,34.50,147.25,5902.0,-1
7,34.25,157.75,5908.8,-1
7,34.00,137.75,5895.8,-1
7,34.00,162.00,5906.5,-1
7,33.75,-62.50,5963.0,-1
7,33.75,-6.00,5951.1,-1
7,33.75,137.00,5895.8,-1
7,33.50,92.00,5869.7,-1
7,33.00,91.25,5869.7,-1
7,33.00,119.25,5905.6,-1
7,32.75,-102.75,5927.4,-1
7,32.75,-6.75,5950.5,-1
7,32.75,120.25,5905.6,-1
7,32.50,-4.75,5955.6,-1
7,32.50,118.25,5905.6,-1
7,32.25,52.50,5923.4,-1
7,32.25,54.00,5922.1,-1
7,32.25,111.25,5893.8,-1
7,32.00,-7.00,5950.2,-1
7,32.00,-5.75,5953.1,-1
7,31.75,-8.00,5949.3,-1
7,31.75,54.75,5924.5,-1
7,31.75,77.75,5866.9,-1
7,31.75,80.00,5863.0,-1
7,31.50,53.50,5923.0,-1
7,31.50,55.50,5924.7,-1
7,31.50,130.50,5893.0,-1
7,31.25,-5.75,5955.3,-1
7,31.25,50.25,5930.9,-1
7,31.25,87.50,5862.7,-1
7,31.00,-7.75,5954.1,-1
7,31.00,109.25,5892.4,-1
7,30.75,-102.50,5925.1,-1
7,30.75,57.25,5923.6,-1
7,30.75,58.00,5922.0,-1
7,30.50,-9.00,5947.8,-1
7,30.50,37.25,5920.4,-1
7,30.50,56.50,5923.6,-1
7,30.50,82.75,5860.9,-1
7,30.50,86.75,5861.6,-1
7,30.25,-7.75,5953.8,-1
7,30.25,50.00,5931.7,-1
7,30.25,50.75,5931.6,-1
