time,latitude,longitude,z
1,28.75,96.00,5860.0
1,28.75,99.75,5844.5
1,28.75,289.75,5909.0
1,28.50,32.00,5934.2
1,28.50,32.50,5934.4
1,28.50,33.25,5935.0
1,28.50,34.00,5935.4
1,28.50,34.75,5935.7
1,28.50,35.50,5937.0
1,28.50,40.25,5948.1
1,28.50,251.75,5913.4
1,28.25,2.00,5946.0
1,28.25,45.25,5951.6
1,28.25,52.00,5945.8
1,28.25,84.00,5863.7
1,28.25,84.25,5863.7
1,28.25,163.50,5876.5
1,28.25,171.00,5880.0
1,28.25,254.00,5912.5
1,28.00,31.50,5933.5
1,28.00,56.00,5936.1
1,28.00,85.50,5866.5
1,28.00,95.75,5862.6
1,28.00,255.50,5914.6
1,28.00,278.00,5917.4
1,28.00,282.00,5918.5
1,27.75,96.25,5863.2
1,27.75,214.75,5879.6
1,27.75,294.00,5907.2
1,27.50,86.25,5866.1
1,27.50,87.75,5861.8
1,27.25,37.00,5940.6
1,27.25,43.75,5952.3
1,27.25,87.00,5863.0
1,27.25,248.25,5916.4
1,27.25,249.00,5916.3
1,27.25,253.25,5914.2
1,27.25,267.25,5911.3
1,27.25,275.50,5923.0
1,27.00,21.50,5922.9
1,27.00,21.75,5922.9
1,27.00,44.25,5952.2
1,27.00,247.50,5916.2
1,27.00,251.75,5913.0
1,27.00,258.00,5910.4
1,27.00,266.75,5911.3
1,27.00,316.50,5885.7
1,26.75,20.00,5922.5
1,26.75,45.00,5952.1
1,26.75,97.25,5863.1
1,26.75,253.00,5914.0
1,26.75,280.25,5918.0
1,26.75,316.50,5885.7
1,26.50,37.00,5940.0
1,26.50,98.00,5862.1
1,26.50,247.50,5916.2
1,26.50,277.25,5918.2
1,26.50,279.75,5918.1
1,26.25,112.75,5858.3
1,26.25,113.25,5858.3
1,26.25,308.25,5885.7
1,26.25,309.75,5885.4
1,26.00,308.25,5885.7
1,25.75,30.75,5931.4
1,25.75,214.00,5880.3
1,25.75,256.00,5911.6
1,25.75,291.75,5908.0
1,25.50,43.00,5953.1
1,25.50,143.25,5911.5
1,25.50,214.00,5880.3
1,25.50,256.50,5911.7
1,25.25,83.75,5881.2
1,25.25,286.50,5907.6
2,89.75,275.25,5601.5
2,89.75,276.00,5601.5
2,89.75,277.00,5601.4
2,89.75,277.75,5601.4
2,79.50,157.50,5682.4
2,79.25,158.25,5682.4
2,79.25,159.00,5682.4
2,73.25,149.25,5718.7
2,73.25,150.00,5718.8
2,73.25,150.50,5718.8
2,70.75,189.50,5678.5
2,70.75,189.75,5678.5
2,69.25,195.00,5680.1
2,68.50,197.75,5681.0
2,65.50,283.75,5686.3
2,65.00,275.00,5686.9
2,65.00,275.25,5686.9
2,64.50,276.50,5687.0
2,64.50,276.75,5687.0
2,64.00,49.75,5584.1
2,64.00,50.00,5584.1
2,61.50,126.00,5650.1
2,61.25,216.50,5708.7
2,60.50,52.00,5578.1
2,60.50,97.25,5748.0
2,60.00,219.00,5713.7
2,58.50,87.75,5744.2
2,58.00,52.75,5584.6
2,58.00,87.25,5744.2
2,57.00,116.50,5671.5
2,57.00,117.75,5672.4
2,56.00,160.00,5473.4
2,55.50,160.00,5473.3
2,55.25,353.50,5862.6
2,53.75,120.75,5682.4
2,53.00,206.50,5774.7
2,52.25,121.25,5684.5
2,47.75,8.00,5978.2
2,47.75,15.25,5966.1
2,47.25,8.00,5979.7
2,47.00,8.75,5979.9
2,47.00,9.75,5978.6
2,46.50,8.00,5981.9
2,46.50,9.50,5979.4
2,46.50,10.50,5978.0
2,46.00,7.75,5983.8
2,45.75,6.50,5986.1
2,45.25,7.25,5987.2
2,45.25,8.00,5985.2
2,45.25,81.75,5778.8
2,45.00,72.50,5810.4
2,44.75,5.75,5982.5
2,44.75,70.00,5814.4
2,44.75,70.50,5814.3
2,44.50,5.00,5981.2
2,44.50,79.75,5785.7
2,44.50,83.00,5778.7
2,44.25,5.00,5981.2
2,44.25,6.50,5983.7
2,44.25,70.75,5814.2
2,44.25,82.00,5781.3
2,44.25,232.50,5538.1
2,44.00,83.25,5780.6
2,44.00,83.75,5781.1
2,43.75,64.50,5815.1
2,43.75,79.75,5786.6
2,43.50,63.75,5815.3
2,43.50,81.25,5785.9
2,43.50,117.25,5756.0
2,43.25,77.50,5794.8
2,43.25,83.25,5781.7
2,43.25,89.50,5752.4
2,43.00,80.00,5788.7
2,43.00,85.75,5772.2
2,42.75,73.25,5808.3
2,42.75,74.75,5807.9
2,42.75,76.75,5803.4
2,42.75,78.00,5796.6
2,42.50,44.25,5875.5
2,42.50,70.75,5811.2
2,42.50,72.50,5808.6
2,42.50,85.50,5775.5
2,42.50,86.50,5772.6
2,42.25,67.50,5809.8
2,42.25,79.75,5787.1
2,42.25,82.00,5780.8
2,42.25,84.25,5776.0
2,42.25,84.50,5776.0
2,42.00,74.25,5803.3
2,42.00,74.75,5803.3
2,42.00,76.50,5801.5
2,42.00,83.50,5776.0
2,42.00,83.75,5776.0
2,41.75,70.50,5807.6
2,41.75,71.00,5807.4
2,41.75,72.00,5809.3
2,41.75,78.75,5790.8
2,41.75,86.50,5772.1
2,41.50,72.75,5808.3
2,41.50,75.25,5804.1
2,41.50,79.75,5785.8
2,41.50,84.50,5771.9
2,41.25,68.00,5810.7
2,41.25,86.00,5772.6
2,41.00,72.00,5807.7
2,41.00,74.25,5805.2
2,41.00,79.00,5788.8
2,40.75,73.00,5806.8
2,40.75,75.00,5802.1
2,40.75,84.75,5771.4
2,40.50,68.25,5811.1
2,40.50,69.00,5810.4
2,40.50,71.75,5810.4
2,40.25,46.25,5895.0
2,40.25,69.00,5810.4
2,40.25,73.75,5806.4
2,40.00,66.75,5812.2
2,40.00,68.25,5810.3
2,40.00,124.75,5782.8
2,39.75,69.75,5810.7
2,39.75,72.00,5812.5
2,39.75,74.25,5806.6
2,39.75,92.50,5764.7
2,39.75,93.50,5764.4
2,39.75,94.25,5763.5
2,39.75,323.50,5925.0
2,39.50,69.00,5810.6
2,39.50,70.50,5811.6
2,39.50,86.75,5775.7
2,39.50,96.25,5765.9
2,39.25,71.25,5813.0
2,39.25,93.50,5767.7
2,39.00,16.50,5883.3
2,39.00,69.75,5810.5
2,39.00,74.25,5807.1
2,39.00,94.25,5765.8
2,39.00,94.75,5765.6
2,38.75,66.75,5815.2
2,38.75,67.50,5814.0
2,38.75,68.50,5812.7
2,38.75,72.00,5810.1
2,38.75,96.25,5768.5
2,38.50,73.50,5810.1
2,38.50,74.25,5807.5
2,38.50,75.25,5807.1
2,38.25,92.00,5767.1
2,38.00,70.50,5811.7
2,38.00,73.50,5810.0
2,38.00,90.25,5772.5
2,37.75,86.50,5784.5
2,37.50,71.50,5814.6
2,37.50,76.25,5805.1
2,37.50,87.00,5785.3
2,37.50,95.00,5770.0
2,37.25,85.75,5786.5
2,37.25,93.50,5773.9
2,37.00,84.75,5787.6
2,36.75,72.75,5811.9
2,36.75,74.25,5810.0
2,36.75,89.75,5773.7
2,36.50,71.50,5816.2
2,36.25,32.75,5905.0
2,36.25,67.25,5829.8
2,36.25,75.00,5810.1
2,36.25,79.25,5801.5
2,36.00,68.50,5827.1
2,36.00,69.25,5826.5
2,36.00,75.75,5809.9
2,36.00,76.50,5808.6
2,36.00,80.25,5800.5
2,36.00,94.00,5778.7
2,36.00,276.00,5890.7
2,36.00,276.25,5890.7
2,35.75,2.25,5966.1
2,35.75,53.50,5922.5
2,35.75,70.00,5822.2
2,35.75,70.75,5820.4
